index,original,new
1,v-neck,vneck
2, v neck ,vneck
3, d ,chest
4,dressed,jaimeSommers
5,dressing room,spiderman
6,dressy,steveAustin
7,dresses, 
8,dress, 
9,spiderman,dressroom
10,steveAustin,dressy
11,jaimeSommers,dressed
12, w ,with
13, ft,feet
14, ot ,overtop
15, sz ,size
16, dd ,ddcup
17, l ,large
18, s ,small
19, m ,medium
20, p ,petite
21, x ,extra
22, tts ,truesize
23, zipping up ,zipper
24, zipping ,zipper
25, zips ,zipper
26, zipepr ,zipper
27, belly ,stomach
28, tummy ,stomach
29, boob ,chest
30, boo ,chest
31, boobage ,chest
32, breast ,chest
33, tits ,chest
34, cehst ,chest
35, busi ,business
36,color ish,color
37,color color,color
38,colors,color
39, med ,medium
40, actualyl ,actually
41, absolute , absolutely 
42, absolutley , absolutely 
43, absoluty , absolutely 
44, accessorized , accessory 
45, accessorizes , accessory 
46, accessorize , accessory 
47, absoluty , absolutely 
48, accomodate , accommodate 
49, adjustability , adjustable 
50, adjsut , adjust 
51, adjustment , adjust 
52, adoreable , adorable 
53, anyways , anyway 
54, anyw , anyway 
55, als , also 
56,lbs,pound
57,lb,pound
58, be , 
59,hte,hardexplain
60, th , 
61, c ,ccup
62, b ,bcup
63, a ,acup
64, d ,dcup
65, do , 
66, yes , 
67, no , 
