index,original,new
1,v-neck,vneck
2,v neck,vneck
3,dressed,steveAustin
4,dressing room,jaimeSommers
5,dressy,steveAustin
6,dresses, 
7,dress, 
8,jaimeSommers,dressroom
9,steveAustin,dressy
11,fts,feet
12,ft,feet
13,foot,feet
14,ot,overtop
15,sz,size
16,dd,chxlarge
17,tts,truesize
18,zipping up,zipper
19,zipping,zipper
20,zips,zipper
21,zip,zipper
22,zipepr,zipper
23,belly,stomach
24,tummy,stomach
25,boob,chest
26,boo,chest
27,boobage,chest
28,breast,chest
29,tits,chest
30,cehst,chest
31,busty up,chest
32,busty,chest
33,bustline,chest
34,bust,chest
35,busi,business
36,colors,color
37,med,medium
38,actualyl,actually
39,absolute, absolutely 
40,absolutley, absolutely 
41,absoluty, absolutely 
42,accessorized, accessory 
43,accessorizes, accessory 
44,accessorize, accessory 
45,absoluty, absolutely 
46,accomodate, accommodate 
47,adjustability, adjustable 
48,adjsut, adjust 
49,adjustment, adjust 
50,adoreable, adorable 
51,anyways, anyway 
52,anyw, anyway 
53,als, also 
54,lbs,pound
55,lb,pound
56,be, 
57,hte,hardexplain
58,th, 
59,do, 
60,yes, 
61,no, 
62,wed,wedding
63,im,
